Organization,Country,Info,Organization categorization,All ML Systems
Institute of Advanced Research in Artificial Intelligence,Austria,,Academia,"Hopfield Networks (2020),Cloob"
Institute of Information Science (IZUM),Slovenia,,Government,
Institute of Science and Technology Austria (ISTA),Austria,,Academia,"SparseOPT-175B,QMoE: compressed SwitchTransformer,Transformer-XL + PowerSGD + L-Greco,SparseOPT-66B,SparseOPT-13B,SparseOPT-30B"
Institute of Structural Biology,Germany,,Academia,Machine learning a model for RNA structure prediction
Instituto de Ciencias Aplicadas y Technologia,Mexico,,Academia,LIRA
Intel,United States of America,,Industry,Intel Aurora 1T
Intel Labs,"Multinational,United States of America",,Industry,"Multi-scale Dilated CNN,Swift,TCN (148M),TCN (P-MNIST),TrellisNet,LSTM (2018),DEQ-Transformer (Post-LN) + Jacobian Regularisation,NoPos,TCN (13M),DEQ-TrellisNet (PTB),TrellisNet-MoS (1.4x larger) PTB,DEQ-Transformer (Medium, Adaptive Embedding),Protst,DEQ-TrellisNet (WT-103)"
Inteligent Systems Lab Amsterdam,Netherlands,,,Fisher Vector image classifier
International School for Advanced Studies,Italy,,Academia,Machine learning a model for RNA structure prediction
Internet Company,China,,Industry,
Internet Service A,China,,Industry,
Internet Service B,China,,Industry,
Internet Service K,China,,Industry,
Internet Service P,China,,Industry,
Internet Service S,China,,Industry,
Internet Service U,China,,Industry,
Iris Energy,Australia,,Industry,
Isfahan University of Technology,Iran (Islamic Republic of),,Academia,DrugTar
Islamic Azad University,Iran (Islamic Republic of),,Academia,SimpleNet
Isomorphic Labs,United Kingdom of Great Britain and Northern Ireland,DeepMind spinoff company,Industry,AlphaFold 3
Jacobs University,Germany,,Academia,GRUs
Jacobs University Bremen,Germany,,Academia,RNNsearch-50*
Jagiellonian University,Poland,,Academia,"MoE-Multi,Fraternal dropout + AWD-LSTM 3-layer (WT2),DeepFRI"
JancsiTech,China,,Industry,KeAP
Jane Street,"Multinational,United States of America",,Industry,KataGo
Japan Atomic Energy Agency,Japan,,Government,
JD.com,China,https://en.wikipedia.org/wiki/JD.com,Industry,"TransformerXL + spectrum control,ChatRhino"
Jenni,Singapore,https://jenni.ai/,Industry,Decaying Fast Weights Transformer (WT-103)
Jeonbuk National University,Korea (Republic of),,Academia,FvFold
Jiajia Technology (Shanghai),China,https://jiajiagroup.net/,Industry,
Jiangnan University,China,,Academia,"Integrating Deep Learning and Synthetic Biology: A Co-Design Approach for Enhancing Gene Expression via N-Terminal Coding Sequences,DAC-CSR"
"Jiangsu Kunshan High-tech Industrial Investment Development Co., Ltd.",China,,"Government,Industry",
Jiangsu University of Technology,China,,Academia,KnoMol
Jinan AI Computing Center,China,https://www.jnaicc.com/,"Government,Industry",
Jinan University,China,,Academia,"CHIEF,NeoaPred"
Johannes Kepler University,Austria,,Academia,Cloob
Johannes Kepler University Linz,Austria,,Academia,"Hopfield Networks (2020),xLSTM 1.4B"
Johns Hopkins University,United States of America,,Academia,"PNASNet-5,DeepLab (2017),PNAS-net,RNN-SpeedUp,KN5 LM + RNN 400/10 (WSJ),RNN 500/10 + RT09 LM (NIST RT05),BloombergGPT,StarCoder,Verbatim Memory Transformer (182M),ProGen2-xlarge,Frage-AWD-LSTM-MemoryAug-NeuralCache (WT2),Frage-AWD-LSTM-MemoryAug-NeuralCache (PTB),LSTM-MemoryAug (WT2),LSTM-MemoryAug (PTB),Verbatim Memory Transformer (117M),Verbatim Memory Transformer (108M),RNN LM,RNN 1000/5 + RT09 LM (NIST RT05),DFMDock,LF-MMI,ProGen2-base,Eagle 2"
Johnson & Johnson,United States of America,,Industry,LM-GVP
Joint Center for Advanced High Performance Computing (JCAHPC),Japan,,Academia,
Julich Supercomputing Center,Germany,,Government,"Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
JURA Bio,United States of America,,Industry,JURA Bio Model
K.D. Feddersen (KDF),China,https://www.kdf.com.cn/en/,Industry,JIANG
Kakao,Korea (Republic of),,Industry,"KoGPT,RQ-Transformer (LSUN-cat dataset),RQ-Transformer (1.4B params ImageNet dataset),RQ-Transformer (3.8B params ImageNet dataset),ProteinINR"
Kangwon National University,Korea (Republic of),,Academia,PLUS-RNN
KARAKURI Inc.,Japan,,Industry,Karakuri LM
Karlsruhe Institute of Technology,Germany,,Academia,
Karolinska Institute,Sweden,,Academia,"LEP-AD,PrePR-CT"
KDDI,Japan,,Industry,
KE Holdings Inc. (“Beike”),China,https://investors.ke.com/about-us,Industry,"Belle-whisper-larger-v3-turbo-zh ,Belle VL,BELLE-Llama2-13B-chat-0.4M,BELLE-LLaMA-7B-0.6M-enc,BELLE-LLaMA-7B-2M-enc ,BELLE-LLaMA-13B-2M-enc,BELLE-LLaMA-EXT-7B,BELLE-7B-0.2M,BELLE-7B-0.6M ,BELLE-7B-1M,BELLE-7B-2M,Dream Home LLM (贝壳梦想家大模型)"
Key Laboratory of Machine Intelligence and Advanced Computing,China,,,GraphEC
King Abdullah University of Science and Technology (KAUST),Saudi Arabia,,Academia,"Delta RNN (+ full context),LEP-AD,MiniGPT4 (Vicuna finetune),PrePR-CT,LongVU"
Kingsoft,China,,Industry,"NAS+ESS (156M),NAS+ESS (23M)"
Konan Technology,Korea (Republic of),,Industry,"Konan LLM 13B,Konan LLM 41B"
Korea Advanced Institute of Science and Technology (KAIST),Korea (Republic of),,Academia,"Web mining + Decision tree recommender,PyramidNet,DiT-XL/2 + Discriminator Guidance,EI-REHN-1000D,Discriminator Guidance,Volcano 13B,EI-REHN-1200D (PTB),Protein-Mamba,scHyena,Zephyr 141B-A39B																																						"
Korea University,Korea (Republic of),,Academia,"MemoReader,DensePhrases,RaSoR,Volcano 13B,SO3LR,LongVU"
Kotoba Technologies,Japan,,Industry,Fugaku-LLM
KT,Korea (Republic of),South Korea mobile carrier,Industry,"Mi:dm 7B,Mi:dm 200B"
KU Leuven,Belgium,,Academia,LSTM+NeuralCache
Kuaishou Technology,China,,Industry,"Persia,KwaiYii 13B,KwaiYiiMath,Kling,KwaiYii 175B,KeTu (Kolors),Kling 1.5 Pro,Pyramid Flow,Kling 2.0 Video Generation,Kolors 2.0 Image Generation,Kling 1.6 Pro,Kling 2.1"
Kunlun Inc.,China,,Industry,"Skywork-13B,Tiangong 4.0,Tiangong SkyMusic,Tiangong 3.0 (MoE),Tiangong SkyPaint"
Kyiv Polytechnic Institute,Ukraine,,Academia,
Kyoto University,Japan,,Academia,PLTNUM
Kyutai,France,,Industry,MAGNeT
Laboratoire de Physique de l'Ecole Normale (LPENS),France,,Academia,PAGnol-XL
Laboratório Nacional de Computação Científica,Brazil,,Government,
LAION,"Multinational,Germany","We are a non-profit organization with members from all over the world, aiming to make large-scale machine learning models, datasets and related code available to the general public.",Research collective,"CLIP ViT-H/14 - LAION-2B,GPT-J-6B"
Lambda Labs,United States of America,,Industry,
Lanzhou University,China,,Academia,MPDF
Large Model Systems Organization,United States of America,,Academia,"Vicuna-13B v0,Vicuna-7B v0,Vicuna-33B-v1.3,Vicuna-13B-v1.3,Vicuna-7B-v1.3,Vicuna-7B-v1.5,Vicuna-13B-v1.5"
LEAR Team,France,,Academia,Fisher Vector image classifier
Lehigh University,United States of America,,Academia,"BiomedGPT (182M),LLaVA-CoT"
Leipzig University,Germany,,Academia,StarCoder
Lenovo Research,China,,Industry,"TransfoRNN(d=1024)(2-layer) (WT2),TransfoRNN(d=1024)(2-layer) (PTB)"
Leonardo SpA,Italy,,Industry,
Lepton AI,,,,
LG,Korea (Republic of),,Industry,"Volcano 13B,BITTERS,EXAONE 1.0"
LG AI Research,Korea (Republic of),,Industry,"PLUS-RNN,EXAONE 3.5 2.4B,EXAONE 3.5 7.8B,EXAONE 3.5 32B,EXAONE 3.0,EXAONE 2.0,EXAONE 3.5-R 2.4B,EXAONE 3.5-R 32B,EXAONE 3.5-R 7.8B,EXAONE Deep 32B,EXAONE Deep 7.8B,EXAONE Deep 2.4B,EXAONE Path 2.0,EXAONE 4.0 (32B),EXAONE 4.0 (1.2B)"
Ligand Pro,Russia,,Industry,MULAN
Light of Wuzhen Supercomputing Center,China,,Government,
Lightblue,Japan,,Industry,Qarasu-14B
LightOn,France,,Industry,"PAGnol-XL,Rita-XLarge,VLM-4,Lyra-Fr 10B,LightOn Mini,Reason-ModernColBERT,GTE-ModernColBERT-v1"
LINE Corporation,Japan,,Industry,"Japanese-LM-3.6B,B2T connection (16L)"
Lingang Laboratory,China,,,ALICE
Linköping University,Sweden,,Academia,"AF_unmasked,MassiveFold"
Liquid,United States of America,https://www.liquid.ai/,Industry,"LFM 40B,Evo 2 40B,Evo 2 7B"
LLM360,,LLM360 is an open research lab enabling community-owned AGI through open-source large model research and development.,Research collective,"CRYSTALCODER,Amber"
LORIA,France,https://www.loria.fr/en/,Academia,"Feedback Transformer,Adaptive Inputs + LayerDrop,MultiBand Diffusion"
Loughborough University,United Kingdom of Great Britain and Northern Ireland,,Academia,CrossBind
Ludwig Maximilian University of Munich,Germany,,Academia,"Stable Diffusion (LDM-KL-8-G),Stable Diffusion 1.2,Stable Diffusion 1.1,Stable Diffusion 1.4,Automated design of multi-target ligands by generative deep learning"
LumaLabs,United States of America,,Industry,"Luma Dream Machine,Luma Photon,Luma Ray2,Luma Photon Flash,Luma Ray 1.6"
Lund University,Sweden,,Academia,LearnLM-Tutor
Magic,United States of America,https://magic.dev/,Industry,LTM-1
Maluuba,Canada,,Industry,HRA
Massachusettes General Hospital,United States of America,,,"RoseTTAFold2-Lite,DeepFRI,CHIEF"
Massachusetts Institute of Technology (MIT),United States of America,,Academia,"Once for All,ProxylessNAS,ResNet-152 + ObjectNet,Cross-lingual alignment,BPL,RL mapping instructions (games),RL mapping instructions (troubleshooting),SACHS,SVM for face detection,GroupLens,Optimized Multi-Scale Edge Detection,Learnability theory of language development,Graph-based structural reasoning,Pandemonium (morse),Self Organizing System,Sequence-based pattern recognition,W2v-BERT,StarCoder,Transformer-XL Large + Phrase Induction,SantaCoder,UniPi,ESM2-15B,ESM2-3B,ESM2-650M,ESM2-150M,ESM2-35M,ESM2-8M,OmegaPLM,Diplodocus,Neuro-Symbolic Concept Learner,Statistical continuous speech recognizer,Aya,EquiDock,DiffDock,MicroNet (Adaptive, Cache),GLM-10B,Skip-Thoughts,GLM-10B-unidirectional,GLM-10B-bidirectional,GLM-2B,RNN Baseline,AWD-LSTM + Phrase Induction + finetuning (PTB),OpenVLA,RFdiffusion,DeepFRI,SSA,DiffDock-PP,RNA-FM,iCCCP,Mdgen,AutoDiff,CHIEF,CodonMPNN,BindCraft,MPNNsol,Alphaflow,ESMFlow,NAEPro,Improved motif-scaffolding with SE(3) flow matching,GLA Transformer 1.3B,GLA Transformer 340M,HGRN 1B (WT 103),HGRN2 3B,HGRN2 1B,CryoDRGN,NVILA 15B,NVILA 8B,VILA1.5-40B,VILA1.5-7B,VILA1.5-13B,LongVILA-7B,OpenCLIP ViT-H-14-378-quickgelu,Boltz-1,LinOSS,Boltz-2,Vine copula (breast cancer),Vine copula (wine quality),Vine copula (crime),VILA-13B,SANA 1.5 4.8B,SANA 1.6B"
Matsuo Lab,Japan,,,Weblab-10B
Max Planck Institute for Informatics,Germany,,Academia,"SO3LR,GAWWN,U-Net GAN (FFHQ)"
Max Planck Institute for Intelligent Systems,Germany,,Academia,"MetaMath 70B,MetaMath 7B (LLaMa finetune),MetaMath 7B (Mistral finetune),EnhanceNet,StyleGAN-XL"
Max Planck Institute of Biochemistry,Germany,,Academia,ProteinStructureTransformer
Max Planck Society,Germany,,Academia,
McGill University,Canada,,Academia,"StarCoder,BlenderBot 3,EMDR,KnGPT2,ONLSTM-SYD,Mixture-of-Depths,MLN-ASR,STEPS,FoldFlow2,FoldFlow,EnzymeFlow"
MCloud Company,China,,Industry,
McMaster University,Canada,,Academia,PepMLM
Med AI Technology,China,,,"ProtT5-XXL,ProtBERT-BFD,ProtT5-XXL-BFD,ProtBERT-UniRef"
Medical AI Research Center (MedARC),United States of America,https://www.medarc.ai/,Research collective,MindEye2
Medical School of Nantong University,China,,Academia,ALICE
Megvii Inc,China,,Industry,"ShuffleNet v2,ShuffleNet v1,Mono3D++,YOLOX-X,DreamLLM,Taiyi (旷视太乙)"
Meituan University,China,,Academia,ConSERT
Memorial Sloan Kettering Cancer Center,United States of America,,,KinoML
Meta AI,United States of America,,Industry,"OPT-175B,NLLB,Make-A-Video,Galactica,CICERO,LLaMA-65B,MusicGen,DLRM-12T,Llama 2-70B,MoE-1.1T,ESM2-15B,LLaMA-7B,ViT-G (model soup),Sparse all-MLP,data2vec (vision),data2vec (speech),data2vec (language),OPT-IML (175B),Fairseq-dense 13B,BlenderBot 3,LLaMA-13B,Code Llama-34B,Llama 2-34B,Llama 2-7B,Llama 2-13B,Emu (Meta),Contriever,ImageBind,ESM2-3B,ESM2-650M,ESM2-150M,ESM2-35M,ESM2-8M,Segment Anything Model,AudioGen,EnCodec,MultiBand Diffusion,MAGNeT,Diplodocus,Code Llama-70B,MMS-1B,XGLM-7.5B,Detic,Llama Guard,Code Llama-7B,DiffQ Transformer (16L),MemSizer (language modeling),NoPos,OPT-1.3B,OPT-1.3B (finetuned on PTB),OPT-1.3B (finetuned),OPT-2.7B,OPT-2.7B (finetuned on PTB),OPT-2.7B (finetuned on WT2),OPT-6.7B,OPT-30B,OPT-66B,OPT-125M (finetuned on PTB),OPT-125M (finetuned),LLaMA-33B,DeiT-B,ConvS2S (ensemble of 8 models),Llama 3-70B,Llama 3-8B,OPT-350M,Llama 3.1-405B,Llama 3.1-70B,Llama 3.1-8B,Llama 3.2 11B,Llama 3.2 90B,Llama 3.2 1B,Llama 3.2 3B,Movie Gen Video,Movie Gen Audio,Segment Anything Model 2,Code Llama-13B,Llama-3.1-Nemotron-70B-Instruct,Llama 3.3 70B,Apollo 7B,Apollo 3B,Apollo 1.5B,Llama 4 Scout,Llama 4 Maverick,Llama 4 Behemoth (preview),LIMA,LongVU,Apollo-7B,ToolFormer,V-JEPA,Brain2Qwerty,DLRM-2021,LLaMA-3-Instruct-8B"
MetaMind Inc,United States of America,,Industry,"Constituency-Tree LSTM,Pointer Sentinel-LSTM (medium),Zoneout + Variational LSTM (WT2),Zoneout + Variational LSTM (PTB),Deep RNN (PTB),Pointer Sentinel-LSTM (WT2)"
Mianbi Intelligence,China,,Industry,"Luca 2.0,MiniCPM3.0"
Michigan State University,United States of America,,Academia,"R-Transformer,3DDFA"
Microsoft,"United States of America,Multinational,India,Belgium",,Industry,"Megatron-Turing NLG 530B,DeBERTa,MEB,Theseus 6/768,MT-DNN,Chinese - English translation,HRA,ResNet-1001,ResNet-152 (ImageNet),ResNet-110 (CIFAR-10),SPPNet,DBN for NLP,Stacked Semisuperviser Autoencoders,RNN+LDA+KN5+cache,Turing-NLG,Florence,CODEFUSION (Python),Diffusion-GAN,WizardLM-7B,DeBERTaV3large + KEAR,ISS,Phi-1.5,Phi-2,VALL-E,VALL-E X,WizardCoder-15.5B,Kosmos-2,Multilingual-E5-large,LongNet,WizardLM 70B,BEIT-3,Quantized ADMM,GPT-2 (1.5B, Curriculum Learning 45K),GPT3-6.7B (rerun of original),T2R + Random Init,GPT3-6.7B + muP,phi-3-mini 3.8B,phi-3-medium 14B,T2R + Pretrain,T2R 75% + Pretrain (WT-103),GPT-2 (117M, SLW 110K),MiniGPT4 + LRV-Instruction,Samba 3.8B,RankNet,phi-3-small 7.4B,ProteinGenerator,HJRSS,phi-3.5-mini,phi-3.5-Vision,GRITLM 7B,GRITLM 8x7B,Microsoft MAI-1,MS-ensemble-speech-recognition,WizardLM-2 8x22B,WizardLM-2 70B,WizardLM-2 7B,ResNet-101 (ImageNet),Florence-2-B (base),Florence-2-L (large),T-NLRv5 XXL,Phi-4-Multimodal,Phi-4 Mini,Phi-3.5-MoE,Phi-4-Reasoning,Phi-4-Reasoning-plus,E2 TTS,WizardLM 13B v1.2,Kosmos-2.5,Kosmos-1,CollabLLM"
Microsoft Research,"United States of America,United Kingdom of Great Britain and Northern Ireland,Multinational",,Industry,"DeepNet,MetaLM,Megatron-LM (1T),NÜWA,AMDIM,R-FCN,MSRA (C, PReLU),Fast R-CNN,Deeply-supervised nets,Faster R-CNN,SemVec,3D city reconstruction,CNN Best Practices,Context-dependent RNN,RetNet,CODEFUSION (Python),Segatron-XL large, M=384 + HCP,Table-GPT,GSM,Mnemonic Reader,LLaVA,LLaVA 1.5,AWD-FWM (WT2),Transformer Large + HCP,RNN+LDA,RNN+LSA+KN5+cache (model combination w/ linear extrapolation),RNN,Segatron -XL base, M=150 + HCP,AWD-FWM (PTB),Orca 2-13B,RankNet,Diamond,DiffSBDD (CrossDocked),CARP,MIF-ST,scFormer,Aurora,ERNIE-RNA,OmniParser: Interactable Region Detection Model,BitNet b1.58,OmniParser: Icon Description Model,DeBERTaV3large,EnzymeFlow,HiFi - NN,FastSpeech,Phi-1,Phi-4,MoLeR,Grounding Dino L,OC-GAN (Visual Genome),OC-GAN (COCO-Stuff)"
Microsoft Research AI for Science,"United States of America,United Kingdom of Great Britain and Northern Ireland,China,Netherlands,Germany",https://www.microsoft.com/en-us/research/lab/microsoft-research-ai-for-science/,Industry,"µFormer,Improved motif-scaffolding with SE(3) flow matching,MatterSim (M3GNet - MatterSim-v1.0.0-5M),MatterSim (Grpaphomer),FABind,MatterGen"
Microsoft Research Asia,China,,Industry,"Adaptive Input Transformer + RD,Tensorized Transformer (257M),AWD-LSTM-MoS + dynamic evaluation (WT2, 2018),Swin Transformer V2 (SwinV2-G),Tensorized Transformer (OBW),Tensorized Transformer (PTB),Tensorized Transformer (large PTB),Tensorized Transformer (W103),AWD-LSTM-MoS + dynamic evaluation (PTB, 2018),ResNet-200,Xiaoice,TrOCR,PMLM-large,FastSpeech 2,rStar-Math (Qwen2.5-Math-7B base),rStar-Math (Qwen2-Math-7B base)"
Midjourney,United States of America,,Industry,"Midjourney V1,Midjourney V6.1,Midjourney V7"
Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Canada,,Academia,"KEPLER,StarCoder,Fraternal dropout + AWD-LSTM 3-layer (WT2),BlenderBot 3,EMDR,HyenaDNA,ONLSTM-SYD,WGAN-GP,ProteinDT,Hyena-3-slim,Mixture-of-Depths,Fraternal dropout + AWD-LSTM 3-layer (PTB),AtomFlow,Protst,Structure-Informed Protein Language Model,STEPS,GearNet,ESM-GearNet,FoldFlow,GearBind,MolPhenix,EnzymeFlow,AMPLIFY,Wuerstchen,Hyena 1.3B,Hyena-2 355M,Hyena-2 153M,OC-GAN (Visual Genome),OC-GAN (COCO-Stuff)"
MiniMax,China,,Industry,"ABAB,MiniMax Video-01,abab6.5,Hailuo I2V-01-Live,abab7,Hailuo I2V-01-Director,Hailuo T2V-01-Director,MiniMax-Text-01,MiniMax-VL-01,MiniMax-M1-80k,MiniMax-M1-40k,Minimax-Speech-02-HD,MiniMax-Speech-02-turbo,MiniMax Speech-01-HD (T2A-01-HD),MiniMax Speech-01-turbo (T2A-01-turbo),Minimax Hailuo 02,Image-01"
Ministry of Education of China,China,,Government,GraSR
Ministry of Natural Resources (China),China,,Government,ConoDL
Ministry of Science and ICT,Korea (Republic of),,Government,
Minzu University of China,China,,Academia,ChatBit
Mistral AI,France,,Industry,"Mistral 7B,Mixtral 8x7B,Mistral Medium,Mistral Large,Mixtral 8x22B,Codestral,Mistral NeMo,Mistral Large 2,Mistral Small v24.09,Pixtral 12B,Codestral Mamba,Pixtral Large,Ministral 3B,Ministral 8B,Mistral Small 3,Mistral Small 3.1,Mathstral,Mistral OCR,Mistral Medium 3,Magistral Medium,Magistral Small,Devstral,Mistral Saba,Mistral Small 3.2,Codestral Embed"
MIT-IBM Watson AI Lab,United States of America,,"Academia,Industry","Once for All,Cube-Space AutoEncoder,Neuro-Symbolic Concept Learner,GLA Transformer 1.3B,GLA Transformer 340M"
MITRE,United States of America,A private nonprofit that works closely with the US Government,Industry,
Mitsubishi Electric Research Labs,United States of America,,Industry,Decision tree (classification)
Mitsui & Co.,Japan,,Industry,
Mobvoi,China,https://en.wikipedia.org/wiki/Mobvoi,Industry,"True-Regularization+Finetune+Dynamic-Eval,True-Regularization+Finetune,Sequence Monkey (序列猴子)"
ModelBest,China,,Industry,"MiniCPM-1.2B,MiniCPM-2.4B,MiniCPM-3-4B,CPM-Bee,CPM-Ant
"
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,,Academia,"Jais,ProteinChat,ProTeM,CRYSTALCODER,Amber,Hybrid-Phi-Mamba-1.5B,Jais-30b (phase 1)																												 "
Molecular Institute of Biology,Spain,,Academia,HiFi - NN
Monash University,Australia,,Academia,"StarCoder,EN^2AS with performance reward,CoPRA"
Morgridge Institute for Research,United States of America,,Academia,METL-Global
MosaicML,United States of America,,Industry,"MPT-7B,MPT-30B"
Moscow Institute of Physics and Technology,Russia,,Academia,Transformer-XL + RMT
Moscow State Univeristy,Russia,,Government,
MTS Systems Corporation (MTS),Russia,,Industry,
Murdoch University,Australia,,Academia,LTM
Nabla Bio,United States of America,,Industry,AminoBert
Nagoya University,Japan,,Academia,Fugaku-LLM
Nanbeige LLM Lab,China,,Industry,"Nanbeige-16B,Nanbeige2-16B-Chat"
Nanhu Brain-Computer Interface Institute,China,,,ALICE
Nanjing Agricultural University,China,,Academia,BTFBS
Nanjing Intelligent Computing Center,China,,Government,
Nanjing Kunpeng Ascend AI Computing Center,China,https://www.njaci.cn/,"Government,Industry",
Nanjing University,China,,Academia,"Symmetric Residual Encoder-Decoder Net,base LM+GNN+kNN,TCAN (WT2),VideoMAE V2,InternImage,base LM+GNN (WT103),Transformer + GFM,AFP-Deep,ESM-AA,InstructPLM,RiboDiffusion,4D Diffusion for Dynamic Protein Structure Prediction with Reference Guided Motion Alignment,InternViT-6B, InternVL,InternVL1.5,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,Eagle 2,Ovis-7B,Eagle 2.5"
Nanwei Software Group,China,https://www.linewell.com/linewell/gw/index.jsp,Industry,
Nanyang Central Hospital,China,,Government,improved U-Net for chest X-ray images segmentation
Nanyang Technological University,Singapore,,Academia,"ESRGAN,FLM-101B,CodeT5-base,base LM+GNN+kNN,LLaVA-NeXT-34B (LLaVA-1.6),Otter,OtterHD-8B,InstructBLIP,base LM+GNN (WT103),PMLM-large,Vega v2,LLaVA-OV-7B,LLaVA-OV-72B,Oryx 34B,Oryx 7B ,ManiGaussian"
Nara Institute of Science and Technology,Japan,,Academia,"ADP-FAIRSEQ+NGRAMRES,ADP-FAIRSEQ + NGRAMRES"
NASA,United States of America,,Government,"NASA SMD,Prithvi-100M,Prithvi WxC,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
Nat Friedman and Daniel Gross,United States of America,,Industry,
National Applied Research Laboratories Taiwan,Taiwan,,Government,
National Cancer Institute,United States of America,,Government,Cancer drug mechanism prediction
National Chiao Tung University,Taiwan,,Academia,RNN for speech
National Computational Infrastructure Australia,Australia,,Government,
National Health Research Institutes Taiwan,Taiwan,,Government,
National Institute of Advanced Industrial Science and Technology (AIST),Japan,,Academia,"Subformer (122M),Subformer (83M),Subformer (96M)"
National Institute of Biomedical Innovation,Japan,,Government,PLTNUM
National Institute of Informatics,Japan,,,"Spectrally Normalized GAN,LUKE,HAM-TTS"
National Library of Medicine,United States of America,,Government,Med-PaLM
National Research University Higher School of Economics,Russia,,Academia,"Compress-LSTM (66M),S + I-Attention (3),Compress-LSTM (4.6M)"
National Science and Technology Development Agency (NSTDA),Thailand,,Government,
National Supercomputer Center in Tianjin,China,https://www.nscc-tj.cn/,Government,Tianhe Tianyuan
National Supercomputing Center in Changsha,China,,Government,
National Supercomputing Center in Chengdu,China,,Government,
National Supercomputing Center in Guangzhou,China,,Government,
National Supercomputing Center in Jinan,China,https://nsccjn.cn/,Government,
National Supercomputing Center in Kunshan,China,,Government,
National Supercomputing Center in Shenzhen,China,,Government,GraphEC
National Supercomputing Center in Taiyuan,China,,Government,
National Supercomputing Center in Xi'an,China,,Government,
National Supercomputing Center in Zhengzhou,China,,Government,
National Supercomputing Center Singapore,Singapore,,Government,
National Taipei University of Technology,Taiwan,,Academia,YOLOv9-E
National Tsing Hua University,Taiwan,,Academia,"CT-MoS (WT2),CT-MoS + DynamicEval (WT2),CT-MoS (PTB),CT-MoS + DynamicEval (PTB)"
National University of Defense Technology,China,Government military school,Academia,
National University of Singapore,Singapore,,Academia,"NeuMF (Pinterest),Network in Network,Low-Cost Collaborative Network,Show-1,Deep Belief Nets,Goat-7B,ProtT3,RNA-FrameFlow,Integrating Deep Learning and Synthetic Biology: A Co-Design Approach for Enhancing Gene Expression via N-Terminal Coding Sequences,DeepRelax,SAF R-CNN,Meissonic,Difix3D+,OpenOmni"
NAVER,Korea (Republic of),,Industry,"HyperCLOVA 82B,StarGAN v2,DiT-XL/2 + Discriminator Guidance,Discriminator Guidance,HyperCLOVA X,LLaMA-65B (LoRA finetuned),LLaMA-7B (LoRA finetuned),LLaMA-13B (LoRA finetuned),LLaMA-33B (LoRA finetuned),LMRec,HyperCLOVA 204B,PLUS-RNN"
Naver AI Lab,Korea (Republic of),,Industry,"Transformer-XL+AdamP,Transformer-XL+WN+AdamP,CLUE,LMRec"
Naver Clova,Korea (Republic of),,Industry,"Transformer-XL+AdamP,Transformer-XL+WN+AdamP,CLUE"
NCSOFT,Korea (Republic of),"NCSOFT is a global game developer with the world's renowned franchises such as Lineage and Guild Wars. To foster human creativity and productivity, we are currently expanding our boundaries into AI. Our vision on AI is to transform AI into a steadfast ally in the creative process. We aim to simplify complex tasks and automate repetitive ones, enabling individuals to unleash their creative potential.",Industry,"VARCO LLM 2.0 base,VARCO LLM 2.0 small Finetuning,VARCO LLM KO/EN-13B-IST ver.1"
Nebius AI,Netherlands,,Industry,
NEC Corporation,Japan,,Industry,NEC cotomi
NEC Laboratories,United States of America,,Industry,"NLP from scratch,Deep Multitask NLP Network,Super-vector coding,NEC LLM 13B,Synergistic Face Detector"
NeevCloud,India,,Industry,
"NERSC, Lawrence Berkeley National Laboratory",United States of America,,Government,"6-Layer-Tensor-Transformer+AdaHessian,3-Layer-Tensor-Transformer+AdaHessian,RNA language models predict mutations that improve RNA function,MACE-MP-0,ProteinMPNN"
NetEase,China,,Industry,"YuYan 11B,Zi Yue,Zi Yue 2.0,LaMemo"
Netflix,United States of America,,Industry,Netflix Recommender System
Netherlands Cancer Institute,,,,PARM
"Netnic (Beijing) Digital Communication Technology Co.,Ltd",China,https://netnic.com.cn/,Industry,
Neural Magic,United States of America,,Industry,"SparseOPT-175B,QMoE: compressed SwitchTransformer,Transformer-XL + PowerSGD + L-Greco"
